"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_500_20_208483d58a","crashed","-","molanu","","2020-12-03T16:07:51.000Z","107988","","20","20","0.01","0.005","0.005","0.05","0","D_500_20_20","100000","2","0.0001","1000","GRN_evolution","3","500","0.7081512381755","1.404","0.149618511246779","0.8503814887532212","0.6576000000000001","0.6578000000000002","0","0","47","53"
"D_500_20_2063351a1c","crashed","-","molanu","","2020-12-03T16:07:21.000Z","107992","","20","20","0.01","0.005","0.005","0.05","0","D_500_20_20","100000","2","0.0001","1000","GRN_evolution","2","500","0.7737326547596249","2.798","0.05192451823089989","0.9480754817691002","0.7777999999999998","0.7866","0","0","1","99"
"D_500_20_10b34db47b","crashed","-","molanu","","2020-12-03T16:07:04.000Z","107982","","20","10","0.01","0.005","0.005","0.05","0","D_500_20_10","100000","2","0.0001","1000","GRN_evolution","5","500","0.578576469962875","0.123","0.2422863487333478","0.7577136512666521","0.3478000000000001","0.3496000000000001","1","0","99","0"
"D_500_20_204a19fea8","crashed","-","molanu","","2020-12-03T16:06:51.000Z","108005","","20","20","0.01","0.005","0.005","0.05","0","D_500_20_20","100000","2","0.0001","1000","GRN_evolution","1","500","0.10652576666599996","1.171","0.5586591203527591","0.4413408796472409","0.5944","0.595","0","0","69","31"
"D_500_20_1051214de3","crashed","-","molanu","","2020-12-03T15:44:25.000Z","107989","","20","10","0.01","0.005","0.005","0.05","0","D_500_20_10","100000","2","0.0001","1000","GRN_evolution","4","500","0.7067385145227499","0.602","0.13626096055286643","0.8637390394471336","0.4842","0.5094000000000001","0","0","33","67"
"D_500_20_10459de148","crashed","-","molanu","","2020-12-03T15:39:18.000Z","107994","","20","10","0.01","0.005","0.005","0.05","0","D_500_20_10","100000","2","0.0001","1000","GRN_evolution","3","500","0.7084176969431248","0.079","0.12289515728003687","0.877104842719963","0.33199999999999996","0.3558","0","0","39","61"
"D_500_20_1002a51607","crashed","-","molanu","","2020-12-03T15:38:12.000Z","108001","","20","10","0.01","0.005","0.005","0.05","0","D_500_20_10","100000","2","0.0001","1000","GRN_evolution","2","500","0.09413879784350004","1.9","0.5993772444346153","0.4006227555653847","0.6605999999999999","0.6607999999999999","0","0","12","88"
"D_500_20_1019b4fbbd","crashed","-","molanu","","2020-12-03T15:35:42.000Z","108022","","20","10","0.01","0.005","0.005","0.05","0","D_500_20_10","100000","2","0.0001","1000","GRN_evolution","1","500","0.506406525007","5.197","0.3226174463679881","0.6773825536320117","0.7154","0.7193999999999999","0","0","100","0"
"D_500_10_52cd3035b","crashed","-","molanu","","2020-12-03T15:35:18.000Z","108015","","10","5","0.01","0.005","0.005","0.05","0","D_500_10_5","100000","2","0.0001","1000","GRN_evolution","5","500","0.824450515432","17.543","0.29557029775063826","0.7044297022493615","0.7491999999999999","0.7525999999999996","0","0","1","99"
"D_500_10_5d8f2aff6","crashed","-","molanu","","2020-12-03T15:34:36.000Z","107986","","10","5","0.01","0.005","0.005","0.05","0","D_500_10_5","100000","2","0.0001","1000","GRN_evolution","4","500","0.906340254089","2.829","0.21986773774522284","0.7801322622547769","0.36540000000000006","0.386","0","0","0","100"
"D_500_10_206f8453f9","crashed","-","molanu","","2020-12-03T15:29:30.000Z","107996","","10","20","0.01","0.005","0.005","0.05","0","D_500_10_20","100000","2","0.0001","1000","GRN_evolution","2","500","0.8263035579229999","5.325","0.09645552999968132","0.9035444700003188","0.7132000000000001","0.7142000000000001","0","0","5","95"
"D_500_10_51347900d","crashed","-","molanu","","2020-12-03T15:29:20.000Z","108005","","10","5","0.01","0.005","0.005","0.05","0","D_500_10_5","100000","2","0.0001","1000","GRN_evolution","1","500","0.917810062311","3.742","0.20350453196850543","0.7964954680314945","0.5761999999999999","0.594","0","0","1","99"
"D_500_10_5582ab7db","crashed","-","molanu","","2020-12-03T15:29:20.000Z","107988","","10","5","0.01","0.005","0.005","0.05","0","D_500_10_5","100000","2","0.0001","1000","GRN_evolution","3","500","0.873056874546","6.64","0.3148320555429619","0.6851679444570381","0.42440000000000005","0.4456","0","0","1","99"
